iter	Passed	Remaining
0	2	2597
1	4	2310
2	6	2158
3	8	2069
4	10	2022
5	12	2135
6	14	2100
7	16	2080
8	18	2047
9	20	2042
10	22	2042
11	24	2010
12	25	1970
13	27	1961
14	29	1927
15	30	1896
16	32	1871
17	33	1848
18	35	1853
19	37	1837
20	38	1816
21	40	1800
22	42	1789
23	44	1794
24	46	1798
25	47	1787
26	49	1778
27	51	1776
28	52	1770
29	54	1760
30	55	1748
31	57	1741
32	59	1755
33	61	1746
34	63	1738
35	64	1732
36	66	1725
37	67	1719
38	69	1711
39	70	1701
40	72	1696
41	74	1696
42	75	1690
43	77	1686
44	79	1678
45	80	1672
46	82	1667
47	84	1670
48	86	1670
49	88	1672
50	89	1668
51	91	1665
52	92	1659
53	94	1652
54	95	1645
55	97	1646
56	99	1647
57	101	1648
58	103	1645
59	104	1641
60	106	1644
61	110	1675
62	112	1669
63	113	1665
64	115	1660
65	116	1654
66	118	1648
67	119	1643
68	121	1644
69	123	1639
70	124	1633
71	126	1629
72	127	1624
73	129	1619
74	130	1613
75	132	1608
76	133	1603
77	135	1599
78	137	1605
79	139	1602
80	140	1598
81	142	1594
82	143	1589
83	145	1585
84	146	1580
85	148	1576
86	149	1572
87	151	1569
88	154	1577
89	157	1596
90	161	1616
91	163	1613
92	164	1609
93	167	1612
94	171	1633
95	173	1636
96	175	1637
97	177	1632
98	178	1628
99	180	1627
100	182	1628
101	188	1658
102	190	1656
103	191	1651
104	193	1646
105	194	1644
106	197	1650
107	200	1654
108	202	1652
109	203	1647
110	205	1642
111	206	1637
112	207	1632
113	209	1627
114	211	1623
115	212	1619
116	213	1613
117	215	1611
118	217	1607
119	218	1603
120	220	1599
121	221	1594
122	223	1590
123	224	1585
124	225	1581
125	227	1579
126	229	1577
127	231	1575
128	233	1574
129	234	1570
130	236	1566
131	237	1561
132	239	1558
133	241	1557
134	242	1555
135	244	1551
136	245	1547
137	247	1545
138	249	1542
139	250	1538
140	251	1534
141	253	1530
142	254	1526
143	256	1523
144	257	1520
145	259	1518
146	261	1514
147	263	1514
148	264	1511
149	266	1508
150	267	1505
151	269	1501
152	270	1498
153	272	1494
154	273	1491
155	275	1488
156	276	1486
157	279	1489
158	281	1487
159	282	1484
160	284	1481
161	285	1479
162	287	1475
163	288	1472
164	290	1471
165	292	1470
166	295	1472
167	296	1470
168	298	1467
169	300	1465
170	302	1464
171	303	1461
172	305	1460
173	306	1456
174	308	1453
175	310	1451
176	311	1449
177	313	1446
178	313	1439
179	315	1436
180	315	1428
181	317	1425
182	318	1422
183	320	1419
184	321	1416
185	322	1413
186	323	1408
187	325	1407
188	327	1404
189	329	1403
190	331	1402
191	332	1399
192	334	1397
